task,variant,mean_ppl,mean_naive,mean_diff,std_diff,t_stat,p_ttest,w_stat,p_wilcoxon,cohens_d,ci_low,ci_high,n_samples,p_holm,reject_holm,p_fdr,reject_fdr
BiasedBehaviorSharpPeak,Standard,0.57731773853302,0.5739827454090118,0.003334993124008179,0.08657499775224285,0.08613654661727649,0.9354972538296431,7.0,1.0,0.03852143471666196,-0.062315833568572995,0.07642539143562317,5,1.0,False,0.9354972538296431,False
BiasedBehaviorSharpPeak,HighClip,0.6065404772758484,0.5739827454090118,0.032557731866836546,0.08621404371424957,0.8444250902875231,0.4459771645270601,5.0,0.625,0.37763838075785977,-0.033136260509490964,0.10502318739891052,5,1.0,False,0.5351725974324721,False
BiasedBehaviorSharpPeak,LowClip,0.5190360963344574,0.5739827454090118,-0.054946649074554446,0.07719804363061634,-1.5915486544506454,0.18669891037421205,2.0,0.1875,-0.7117621961699933,-0.11075461506843567,0.007180470228195191,5,0.7467956414968482,False,0.2489318804989494,False
BiasedBehaviorSharpPeak,HighClamp,0.57731773853302,0.5739827454090118,0.003334993124008179,0.08657499775224285,0.08613654661727649,0.9354972538296431,7.0,1.0,0.03852143471666196,-0.05917211771011353,0.07642539143562317,5,1.0,False,0.9354972538296431,False
SafetyConstrainedReward,Standard,0.9878669261932373,0.6388520002365112,0.34901492595672606,0.03138909866665159,24.862806921895796,1.5533929958364657e-05,0.0,0.0625,11.118985277762262,0.3245595693588257,0.3733516335487366,5,0.00012203636045347059,True,2.353953410624714e-05,True
SafetyConstrainedReward,HighClip,0.9878856897354126,0.6388520002365112,0.34903368949890134,0.03147128560862478,24.799211124162348,1.5693022737498093e-05,0.0,0.0625,11.090544372399197,0.3245427131652832,0.37345272302627563,5,0.00012203636045347059,True,2.353953410624714e-05,True
SafetyConstrainedReward,LowClip,0.989380705356598,0.6388520002365112,0.35052870512008666,0.03138176340067398,24.976480853101414,1.5254545056683823e-05,0.0,0.0625,11.16982180525134,0.327026891708374,0.37432374954223635,5,0.00012203636045347059,True,2.353953410624714e-05,True
SafetyConstrainedReward,HighClamp,0.9878669261932373,0.6388520002365112,0.34901492595672606,0.03138909866665159,24.862806921895796,1.5533929958364657e-05,0.0,0.0625,11.118985277762262,0.3245595693588257,0.3717969059944153,5,0.00012203636045347059,True,2.353953410624714e-05,True
SparseRewardWithNoise,Standard,0.785200297832489,0.3721847414970398,0.41301555633544923,0.030632610372901284,30.148617714536897,7.209463879777279e-06,0.0,0.0625,13.482871727471771,0.38984410762786864,0.4361502707004547,5,8.651356655732734e-05,True,2.162839163933184e-05,True
SparseRewardWithNoise,HighClip,0.785200297832489,0.3721847414970398,0.41301555633544923,0.030632610372901284,30.148617714536897,7.209463879777279e-06,0.0,0.0625,13.482871727471771,0.3896551549434662,0.4361502707004547,5,8.651356655732734e-05,True,2.162839163933184e-05,True
SparseRewardWithNoise,LowClip,0.785200297832489,0.3721847414970398,0.41301555633544923,0.030632610372901284,30.148617714536897,7.209463879777279e-06,0.0,0.0625,13.482871727471771,0.3896551549434662,0.4361502707004547,5,8.651356655732734e-05,True,2.162839163933184e-05,True
SparseRewardWithNoise,HighClamp,0.785200297832489,0.3721847414970398,0.41301555633544923,0.030632610372901284,30.148617714536897,7.209463879777279e-06,0.0,0.0625,13.482871727471771,0.3896551549434662,0.4361502707004547,5,8.651356655732734e-05,True,2.162839163933184e-05,True
